token,count,document_support,original_noise_reason,contextual_lexical_class,contextual_word_type,contextual_english_meaning,contextual_confidence,contextual_reason,recovered_as_shona_content,assessment_model,assessment_prompt_version
food,14,13,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
hey,13,13,english_frequency,english_or_code_switch,interjection,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
international,13,13,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
marriage,14,13,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
maybe,13,13,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
moms,13,13,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
nei,13,13,english_frequency,shona_content,adverb,,0.95,,True,gpt-5-mini,candidate_language_screen_v1
noise,13,13,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
official,13,13,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
order,13,13,english_frequency,english_or_code_switch,noun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
politics,13,13,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
saying,13,13,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
sha,13,13,english_frequency,shona_noncontent,interjection,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
side,13,13,english_frequency,english_or_code_switch,noun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
since,13,13,english_frequency,english_or_code_switch,conjunction,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
thats,14,13,english_frequency,english_or_code_switch,function,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
without,13,13,english_frequency,english_or_code_switch,preposition,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
anything,12,12,english_frequency,english_or_code_switch,pronoun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
available,12,12,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
cup,12,12,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
drama,12,12,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
far,12,12,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
fees,12,12,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
government,13,12,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
health,12,12,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
job,12,12,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
kings,12,12,english_frequency,name_place_or_brand,name,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
laptop,14,12,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
lot,12,12,english_frequency,english_or_code_switch,adverb,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
mako,13,12,english_frequency,shona_noncontent,pronoun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
married,12,12,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
moda,13,12,english_frequency,shona_content,verb,,0.8,,True,gpt-5-mini,candidate_language_screen_v1
months,14,12,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
mose,12,12,english_frequency,shona_content,pronoun,,0.95,,True,gpt-5-mini,candidate_language_screen_v1
nonsense,12,12,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
reason,12,12,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
relationship,13,12,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
rest,12,12,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
shame,12,12,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
shona,12,12,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
soon,12,12,english_frequency,english_or_code_switch,adverb,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
support,13,12,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
video,12,12,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
vote,13,12,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
zero,14,12,english_frequency,english_or_code_switch,noun,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
afa,11,11,english_frequency,shona_content,verb,,0.95,,True,gpt-5-mini,candidate_language_screen_v1
always,11,11,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
bag,13,11,english_frequency,english_or_code_switch,noun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
been,11,11,english_frequency,english_or_code_switch,auxiliary,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
che,11,11,english_frequency,shona_content,particle,,0.85,,True,gpt-5-mini,candidate_language_screen_v1
church,13,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
data,13,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
did,12,11,english_frequency,english_or_code_switch,auxiliary,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
door,11,11,english_frequency,english_or_code_switch,noun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
drive,11,11,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
easy,11,11,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
enough,11,11,english_frequency,english_or_code_switch,adverb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
exposure,11,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
face,12,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
follow,11,11,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
form,12,11,english_frequency,english_or_code_switch,verb,,0.88,,False,gpt-5-mini,candidate_language_screen_v1
gold,12,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
ground,11,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
group,11,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
hrs,12,11,english_frequency,english_or_code_switch,noun,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
huh,11,11,english_frequency,english_or_code_switch,interjection,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
kids,11,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
let,12,11,english_frequency,english_or_code_switch,auxiliary,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
mind,11,11,english_frequency,english_or_code_switch,verb,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
mom,12,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
name,11,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
night,11,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
oye,11,11,english_frequency,shona_noncontent,interjection,,0.7,,False,gpt-5-mini,candidate_language_screen_v1
property,11,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
seiko,11,11,english_frequency,shona_content,adverb,,0.85,,True,gpt-5-mini,candidate_language_screen_v1
sisi,11,11,english_frequency,shona_content,noun,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
situation,11,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
street,12,11,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
talk,12,11,english_frequency,english_or_code_switch,verb,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
talking,11,11,english_frequency,english_or_code_switch,verb,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
teacher,11,11,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
tell,11,11,english_frequency,english_or_code_switch,verb,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
toilet,12,11,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
top,12,11,english_frequency,english_or_code_switch,adjective,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
uno,12,11,english_frequency,shona_content,deictic,,0.9,,True,gpt-5-mini,candidate_language_screen_v1
weekend,11,11,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
which,11,11,english_frequency,english_or_code_switch,function,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
women,11,11,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
zambia,12,11,english_frequency,name_place_or_brand,place,,0.98,,False,gpt-5-mini,candidate_language_screen_v1
african,10,10,english_frequency,english_or_code_switch,identity,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
against,10,10,english_frequency,english_or_code_switch,preposition,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
amp,12,10,english_frequency,english_or_code_switch,conjunction,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
bad,10,10,english_frequency,english_or_code_switch,adjective,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
book,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
building,11,10,english_frequency,english_or_code_switch,noun,,0.88,,False,gpt-5-mini,candidate_language_screen_v1
care,11,10,english_frequency,english_or_code_switch,verb,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
chose,10,10,english_frequency,shona_content,adverb,,0.8,,True,gpt-5-mini,candidate_language_screen_v1
club,13,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
corruption,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
cream,12,10,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
daddy,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
defender,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
delivery,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
direction,11,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
eke,10,10,english_frequency,shona_content,interjection,,0.8,,True,gpt-5-mini,candidate_language_screen_v1
fact,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
father,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
feel,10,10,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
fit,10,10,english_frequency,name_place_or_brand,name,,0.8,,False,gpt-5-mini,candidate_language_screen_v1
focus,12,10,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
god,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
going,10,10,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
home,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
hospital,11,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
jacob,10,10,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
jesu,11,10,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
keep,10,10,english_frequency,english_or_code_switch,verb,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
list,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
live,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
management,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
many,12,10,english_frequency,english_or_code_switch,adjective,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
minister,11,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
national,10,10,english_frequency,english_or_code_switch,adjective,,0.88,,False,gpt-5-mini,candidate_language_screen_v1
opposition,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
place,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
poster,10,10,english_frequency,english_or_code_switch,noun,,0.85,,False,gpt-5-mini,candidate_language_screen_v1
really,10,10,english_frequency,english_or_code_switch,adverb,,0.98,,False,gpt-5-mini,candidate_language_screen_v1
rhoda,10,10,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
rights,11,10,english_frequency,english_or_code_switch,noun,,0.97,,False,gpt-5-mini,candidate_language_screen_v1
rough,10,10,english_frequency,english_or_code_switch,adjective,,0.96,,False,gpt-5-mini,candidate_language_screen_v1
sale,10,10,english_frequency,english_or_code_switch,noun,,0.97,,False,gpt-5-mini,candidate_language_screen_v1
satan,12,10,english_frequency,english_or_code_switch,name,,0.93,,False,gpt-5-mini,candidate_language_screen_v1
sex,10,10,english_frequency,english_or_code_switch,noun,,0.97,,False,gpt-5-mini,candidate_language_screen_v1
shop,11,10,english_frequency,english_or_code_switch,noun,,0.97,,False,gpt-5-mini,candidate_language_screen_v1
simple,10,10,english_frequency,english_or_code_switch,adjective,,0.96,,False,gpt-5-mini,candidate_language_screen_v1
thanks,11,10,english_frequency,english_or_code_switch,interjection,,0.96,,False,gpt-5-mini,candidate_language_screen_v1
value,10,10,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
virginity,11,10,english_frequency,english_or_code_switch,noun,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
woman,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
world,10,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
youth,12,10,english_frequency,english_or_code_switch,noun,,0.9,,False,gpt-5-mini,candidate_language_screen_v1
youtube,10,10,english_frequency,name_place_or_brand,name,,0.95,,False,gpt-5-mini,candidate_language_screen_v1
